position,longsnapper,height,weight,draftage,bench,forty,fortyelectric,verticaljump,broadjump,threecone,shuttle,drafted
OL,0,75.0,300.0,23.9890411,32,0.0,5.402,23.5,0.0,7.91,4.82,1
DB,0,73.5,205.0,23.99452055,12,0.0,4.79,30.5,109.5,6.73,4.3,0
DL,0,76.5,273.0,24.61917808,19,5.19,5.44,27.5,94.0,0.0,4.69,0
RB,0,72.625,181.0,24.55068493,18,0.0,4.8,30.0,100.5,6.94,4.17,1
DB,0,74.625,190.0,25.64109589,9,4.76,0.0,30.5,104.5,0.0,4.38,1
LB,0,74.0,233.0,23.82739726,19,0.0,4.69,34.5,122.75,7.63,4.59,1
DL,0,78.5,276.8,23.26849315,15,4.97,5.0,25.5,102.0,0.0,0.0,1
WR,0,73.0,200.0,23.83835616,14,0.0,4.77,30.0,111.25,7.06,4.34,0
LB,0,73.625,209.0,23.41917808,12,4.96,0.0,29.25,106.5,0.0,4.5,0
LB,0,74.25,231.8,24.56164384,18,4.73,4.87,31.5,105.7,0.0,0.0,1
DB,0,73.0,180.0,23.95890411,11,0.0,4.511,31.5,108.5,7.21,4.31,1
DB,0,69.125,190.0,23.15890411,16,4.46,4.69,34.0,116.5,0.0,4.35,1
DL,0,75.0,220.0,0.0,16,0.0,4.828,36.0,116.0,7.552,4.519,0
LB,0,72.625,207.0,24.11780822,13,4.78,4.99,32.0,109.75,0.0,4.41,1
DB,0,70.25,174.0,23.61917808,8,4.65,4.98,27.5,111.5,0.0,4.64,0
LB,0,71.0,226.0,24.78082192,16,4.92,5.21,30.5,97.32,7.46,4.33,0
OL,0,76.0,272.0,23.82739726,22,5.31,5.34,25.0,91.5,8.09,4.88,0
DL,0,75.0,262.0,23.4739726,15,0.0,4.78,32.0,113.5,7.47,4.41,1
WR,0,73.875,221.8,22.70684932,11,4.87,4.94,29.0,99.0,0.0,0.0,0
LB,1,70.0,215.0,21.69041096,25,0.0,4.716,35.5,111.0,7.25,4.38,1
LB,0,72.5,210.0,22.5890411,19,4.81,4.99,33.5,115.5,0.0,4.03,0
DL,0,72.0,228.0,23.47123288,19,0.0,4.894,29.5,102.0,7.61,4.84,0
WR,0,72.75,209.0,25.61369863,8,4.97,5.1,30.0,110.0,0.0,4.33,0
OL,0,79.75,340.4,21.71506849,27,5.37,5.42,24.5,102.5,0.0,0.0,1
OL,0,77.0,292.0,22.55890411,17,0.0,4.984,31.0,107.75,7.41,4.78,1
QB,0,70.25,209.0,22.05753425,14,4.93,5.1,30.0,98.0,7.59,4.55,0
WR,0,71.75,192.0,24.23561644,8,4.64,4.82,31.5,121.5,0.0,4.25,1
RB,0,72.0,185.0,22.08767123,14,4.48,4.72,35.0,126.0,0.0,0.0,0
LB,0,78.625,235.0,23.0109589,2,5.12,5.27,27.5,110.0,0.0,4.55,0
QB,0,77.0,218.0,0.0,6,0.0,5.37,23.0,89.5,8.35,4.72,0
RB,0,69.0,190.0,21.5260274,17,0.0,4.522,37.0,118.0,7.31,4.15,1
DB,0,68.0,186.0,22.63013699,16,4.68,4.76,38.0,115.5,7.1,4.28,0
OL,0,80.0,335.0,23.27671233,17,0.0,5.453,28.0,96.0,8.047,4.918,1
DL,0,72.5,240.0,23.45205479,25,4.78,4.78,34.0,105.5,7.1,4.44,0
DB,0,72.5,192.0,22.37808219,10,4.75,4.85,31.5,109.0,7.1,4.25,1
LB,0,73.75,219.0,23.83287671,24,4.5,4.76,40.0,124.5,0.0,4.22,1
LB,0,74.0,225.0,21.56986301,20,0.0,4.76,30.5,114.5,0.0,4.63,1
WR,0,72.0,211.0,21.45479452,18,4.44,4.54,43.0,127.0,6.75,4.09,1
WR,0,74.0,218.0,23.61369863,19,0.0,4.534,35.5,109.5,6.99,4.236,1
RB,0,71.5,224.0,22.93150685,23,4.87,5.1,31.5,110.5,0.0,4.43,1
DL,0,74.5,275.0,24.35616438,0,5.5,5.78,25.5,94.0,0.0,4.8,1
OL,0,78.0,320.0,25.11232877,21,0.0,5.48,24.5,97.5,8.03,4.97,1
LB,0,71.125,194.0,25.26849315,7,5.12,5.31,26.0,107.0,0.0,4.41,0
DB,0,74.125,194.0,24.33150685,6,4.74,4.82,33.0,106.5,0.0,4.1,0
OL,0,76.875,295.0,22.90410959,21,5.53,5.72,24.5,94.0,0.0,5.03,1
RB,0,73.0,233.0,23.55342466,29,0.0,4.76,30.5,115.0,7.28,4.49,1
QB,0,74.5,209.0,22.56712329,11,0.0,4.77,31.0,114.0,6.85,4.18,0
OL,0,77.375,296.0,24.3260274,16,5.39,0.0,21.75,91.5,0.0,4.87,1
LB,0,75.25,219.0,21.3369863,10,4.88,4.99,32.5,114.0,7.22,4.47,0
DL,0,74.375,234.0,25.0739726,24,5.05,5.15,32.0,105.5,0.0,0.0,0
WR,0,69.125,180.0,23.23287671,14,4.65,0.0,36.0,112.5,0.0,4.4,0
LB,0,73.0,211.0,21.78630137,16,0.0,5.057,33.5,103.75,7.66,4.57,1
RB,0,73.0,218.0,23.07671233,22,0.0,4.755,35.0,123.0,6.962,4.13,1
OL,0,75.0,299.0,23.39726027,27,0.0,5.451,30.5,92.75,7.78,5.01,1
DB,0,70.625,189.0,22.79726027,16,4.46,4.66,37.5,118.5,0.0,4.23,0
LB,0,72.25,205.0,22.2109589,15,0.0,4.88,34.0,113.5,6.99,4.17,0
DB,0,75.0,212.0,24.60547945,13,0.0,4.793,31.5,125.5,6.84,4.16,1
WR,0,70.625,187.0,21.9260274,10,4.68,4.86,28.0,106.5,0.0,4.06,0
DL,0,72.75,236.0,21.25753425,19,4.81,5.15,30.5,110.5,0.0,4.63,0
DL,0,72.125,233.0,25.83561644,29,4.82,0.0,30.0,106.5,0.0,4.5,1
RB,0,69.0,204.0,23.89041096,20,0.0,4.68,36.0,120.25,7.51,4.54,1
RB,0,70.5,198.0,22.15890411,18,0.0,4.61,35.5,119.5,6.59,4.11,0
WR,0,76.25,212.0,22.66575342,2,4.67,4.8,37.0,118.0,0.0,4.3,1
WR,0,72.625,199.0,22.39726027,10,0.0,4.8,36.5,118.0,6.71,4.07,0
